,B4GALT1_UNT_002,pH6.0,pH4.0,pH7.0,MGAT2_UNT_002
0,0.9084579285411442,0.6393671877796492,0.636841860193972,1.0153154293055238,0.7990694894373868
1,1.0899081014695295,0.6117312445322562,0.8200000000000001,0.9857731088638382,0.7837686110494263
2,0.8557907487461839,0.7071534258365274,0.536382403270043,1.020546764480233,0.8045392370447346
3,0.5277098911845336,0.6683753657835948,0.5037246987873385,1.043294143512067,
4,0.548776599225142,0.7941238541891149,0.5883489827495485,1.039363875376737,
5,0.6444222586169505,0.7223298861609254,0.5566674741902827,1.046983502073033,
6,0.6112601265019845,0.7387812149585032,0.6166725785354823,1.0888210860559884,
7,0.48038634133574204,0.7921555639951302,0.5978464232346774,1.0864680759057026,
8,0.710251037180467,0.7899407496064046,0.5702965259731422,1.0443071548534941,
9,,,,1.0605094370523374,
10,,,,1.1632529629677197,
11,,,,1.0721213719639326,
12,,,,1.1606539211287652,
13,,,,1.0723439630854303,
14,,,,1.1797469387712152,
15,,,,1.2218863373055806,
16,,,,1.0628864073768265,
17,,,,1.1197999951085822,
18,,,,1.4888229447669872,
19,,,,0.9896849645681423,
20,,,,1.3419426048565122,
